ANYO,MES,DIA,HORA,FRANJA_HORARIA,TIPO_DIA,id
2018,8,MARTES,19,Noche,Dias laborables,7416
2018,8,MIÉRCOLES,8,Mañana,Dias laborables,7417
2018,8,MIÉRCOLES,8,Mañana,Dias laborables,7418
2018,8,JUEVES,17,Tarde,Dias laborables,7419
2018,8,VIERNES,11,Mañana,Dias laborables,7420
2018,8,MIÉRCOLES,13,Tarde,Dias laborables,7421
2018,8,VIERNES,12,Tarde,Dias laborables,7422
2018,8,LUNES,15,Tarde,Dias laborables,7423
2018,8,LUNES,19,Noche,Dias laborables,7424
2018,8,VIERNES,14,Tarde,Dias laborables,7425
2018,8,DOMINGO,18,Noche,Fines de semana,7426
2018,8,MARTES,10,Mañana,Dias laborables,7427
2018,8,LUNES,20,Noche,Dias laborables,7428
2018,8,JUEVES,19,Noche,Dias laborables,7429
2018,8,VIERNES,14,Tarde,Dias laborables,7430
2018,7,VIERNES,14,Tarde,Dias laborables,7431
2018,8,VIERNES,17,Tarde,Dias laborables,7432
2018,8,VIERNES,15,Tarde,Dias laborables,7433
2018,8,VIERNES,15,Tarde,Dias laborables,7434
2018,8,SÁBADO,19,Noche,Fines de semana,7435
2018,8,SÁBADO,16,Tarde,Fines de semana,7436
2018,8,DOMINGO,20,Noche,Fines de semana,7437
2018,8,MARTES,17,Tarde,Dias laborables,7438
2018,8,VIERNES,15,Tarde,Dias laborables,7439
2018,8,VIERNES,4,Madrugada,Dias laborables,7440
2018,8,MIÉRCOLES,16,Tarde,Dias laborables,7441
2018,9,SÁBADO,10,Mañana,Fines de semana,7442
